timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-07-18,568.8,579.6,561.46,571.96,435567.36,248771578.2,3790984,37909.84,21430432.55
2024-07-19,571.96,599.33,565.0,593.59,888430.9,519471623.6,3992252,39922.52,23614170.58
2024-07-20,593.58,598.22,586.68,593.2,333812.07,197795080.2,3779441,37794.41,22483894.51
2024-07-21,593.2,603.97,580.79,602.47,545788.96,325432867.1,3780019,37800.19,22634753.77
2024-07-22,602.47,606.02,585.76,587.31,473933.97,282332105.2,3910164,39101.64,23152081.04
2024-07-23,587.31,593.59,577.01,582.19,565009.32,329834530.5,3782643,37826.43,22143592.12
2024-07-24,582.19,589.01,570.0,574.78,382932.41,222929148.5,3737226,37372.26,21806713.71
2024-07-25,574.78,576.18,553.08,570.94,752645.18,424204838.3,3722976,37229.76,21027368.45
2024-07-26,570.93,583.1,570.4,581.04,377831.76,218307427.4,3735573,37355.73,21614025.38
2024-07-27,581.04,593.02,573.04,581.91,490613.36,286472345.7,3572896,35728.96,20912160.29
2024-07-28,581.92,585.34,574.79,584.21,237478.19,137949198.4,3580394,35803.94,20784187.17
2024-07-29,584.21,597.64,572.62,574.46,536206.75,314183200.4,3577173,35771.73,20844187.07
2024-07-30,574.46,588.52,566.83,588.34,403873.86,232006671.2,3748479,37484.79,21520017.94
2024-07-31,588.32,593.34,575.17,576.79,547231.94,320183626.4,3821644,38216.44,22433050.28
2024-08-01,576.79,578.4,553.74,575.37,686430.82,388922684.9,3857953,38579.53,21577531.13
2024-08-02,575.38,577.97,540.71,543.15,822269.4,461429157.3,3730382,37303.82,20841644.23
2024-08-03,543.15,545.5,521.36,529.64,731950.23,390674462.9,3868265,38682.65,20559828.48
2024-08-04,529.7,532.32,486.14,496.92,973439.86,494641297.4,4097518,40975.18,20549052.77
2024-08-05,496.92,500.01,397.29,464.2,4117190.59,1826250486.0,4373055,43730.55,20194767.99
2024-08-06,464.21,496.0,463.44,484.78,1242996.3,600915654.7,5133684,51336.84,25042110.55
2024-08-07,484.77,497.43,468.06,474.99,1021467.37,493733405.3,4259168,42591.68,20473820.58
2024-08-08,474.99,521.74,467.4,517.05,835448.54,413532459.8,3438181,34381.81,17153085.01
2024-08-09,517.04,518.32,498.53,508.87,518058.62,263260197.8,3283132,32831.32,16468190.11
2024-08-10,508.88,525.71,507.21,523.29,330596.47,170450409.8,3266379,32663.79,16798987.2
2024-08-11,523.3,536.7,502.3,503.68,672804.37,350484160.8,3369580,33695.8,17525185.58
2024-08-12,503.67,524.18,499.41,518.48,923988.72,472971554.1,3355123,33551.23,17439929.35
2024-08-13,518.49,527.77,513.0,524.24,727182.02,378238050.9,3692355,36923.55,19096860.06
2024-08-14,524.24,531.72,515.09,523.18,564224.07,296143950.7,3499809,34998.09,18366997.63
2024-08-15,523.19,533.97,509.88,518.87,681716.27,355664792.9,3604977,36049.77,19146032.85
2024-08-16,518.86,524.32,509.63,519.47,530352.51,274675156.6,3560285,35602.85,18331907.47
2024-08-17,519.47,547.9,518.2,541.81,479487.5,255976020.4,3975073,39750.73,21234839.97
2024-08-18,541.81,542.58,530.86,531.28,344039.78,184967870.2,3863773,38637.73,20818008.92
2024-08-19,531.27,561.18,529.0,558.77,710343.66,386393973.9,3832146,38321.46,20831545.66
2024-08-20,558.76,574.88,558.27,569.37,886997.11,503114257.4,4374039,43740.39,24564603.02
2024-08-21,569.38,574.76,545.85,569.79,794680.46,445457368.9,4170171,41701.71,23106917.51
2024-08-22,569.79,589.5,559.03,582.8,869224.83,502804485.4,4808365,48083.65,27907750.46
2024-08-23,582.8,597.87,573.82,591.29,793292.06,462982119.8,4557458,45574.58,26451486.23
2024-08-24,591.28,591.98,575.03,580.43,670430.23,390015094.9,4608033,46080.33,26662078.94
2024-08-25,580.43,583.8,568.0,573.48,501059.19,288307203.0,4761890,47618.9,27380867.5
2024-08-26,573.49,575.21,546.41,548.03,620064.68,347604094.0,4917818,49178.18,27480766.98
2024-08-27,548.03,558.21,520.52,533.17,826002.36,450138391.6,5425352,54253.52,29937092.34
2024-08-28,533.17,546.76,522.01,537.05,980619.06,525882526.1,4977352,49773.52,26554172.92
2024-08-29,537.05,545.35,530.42,536.31,529104.17,285765332.8,5073152,50731.52,27476191.23
2024-08-30,536.3,543.24,521.57,535.01,586255.2,312270580.9,5142857,51428.57,26922856.4
2024-08-31,535.01,541.22,531.0,532.83,232622.95,124640596.2,5197436,51974.36,27842664.65
2024-09-01,532.84,533.14,507.0,512.05,624154.08,323611826.1,5385886,53858.86,28033536.63
2024-09-02,512.06,530.6,501.7,526.41,676551.5,348376823.1,5610919,56109.19,29294608.1
2024-09-03,526.42,538.54,518.0,518.85,612693.39,324515503.3,5384515,53845.15,28096399.27
2024-09-04,518.85,523.83,495.52,507.71,1119216.92,567285286.3,5544197,55441.97,28208874.34
2024-09-05,507.72,512.71,496.57,502.48,629263.51,317195103.7,5453263,54532.63,27348113.95
2024-09-06,502.49,510.19,471.0,487.04,1309923.89,647034338.0,4933236,49332.36,24296187.3
2024-09-07,487.05,499.34,482.88,493.37,428792.71,211073420.0,4485731,44857.31,22334454.65
2024-09-08,493.36,507.0,490.67,503.03,517650.56,258450771.1,4532707,45327.07,22273722.2
2024-09-09,503.02,527.61,501.73,518.91,665279.55,340244646.7,4266780,42667.8,21594173.58
2024-09-10,518.91,524.46,513.59,517.22,486518.17,252289018.7,4170311,41703.11,21447909.47
2024-09-11,517.23,535.92,506.46,530.37,748293.93,388808427.7,4176075,41760.75,21623716.35
2024-09-12,530.32,548.87,530.06,544.58,822376.65,445748371.9,4417156,44171.56,23640618.91
2024-09-13,544.57,559.61,538.43,556.02,706805.82,388029874.5,4791193,47911.93,26519253.26
2024-09-14,556.03,559.14,547.13,553.21,292297.45,161573160.2,4671888,46718.88,25742102.88
2024-09-15,553.22,561.92,551.48,553.12,487091.39,271176046.9,5089443,50894.43,28567043.56
2024-09-16,553.11,555.09,526.5,533.37,786358.51,425920101.3,5367295,53672.95,28720395.55
2024-09-17,533.37,552.29,528.58,546.02,627341.96,340283555.3,4939019,49390.19,27164604.5
2024-09-18,546.02,559.63,536.4,559.32,600755.65,327752657.8,4883611,48836.11,26298245.24
2024-09-19,559.32,571.74,552.77,566.85,701589.82,394559303.0,5087514,50875.14,28754629.13
2024-09-20,566.85,577.0,558.78,568.83,600284.62,341619771.3,4862172,48621.72,27704656.06
2024-09-21,568.83,590.8,566.31,588.98,621688.02,361133808.4,5074075,50740.75,29607227.63
2024-09-22,588.98,595.08,576.07,588.65,603632.17,352766472.4,5024328,50243.28,29161199.71
2024-09-23,588.65,616.69,583.0,604.97,1001981.15,602003443.1,5332303,53323.03,32031144.12
2024-09-24,604.97,613.9,598.51,606.07,779965.63,472359279.8,8260555,82605.55,50092005.52
2024-09-25,606.06,608.34,583.98,587.49,680076.99,405210752.2,8273177,82731.77,49084759.14
2024-09-26,587.49,609.5,581.15,596.47,846740.13,504587654.9,8041639,80416.39,48386541.86
2024-09-27,596.46,615.0,596.1,607.33,916976.25,556740013.4,5068378,50683.78,30871490.4
2024-09-28,607.33,619.06,594.81,601.12,696744.41,421626319.2,5085826,50858.26,30570900.09
2024-09-29,601.12,603.13,592.67,595.76,408189.42,243999628.3,5270799,52707.99,31466670.03
2024-09-30,595.77,595.95,563.4,567.65,908496.44,524729145.3,5454524,54545.24,31145332.04
2024-10-01,567.65,583.2,536.11,546.98,1191369.02,665813107.8,5003025,50030.25,28122003.53
2024-10-02,546.97,558.15,534.4,542.38,764710.26,417749254.1,4715136,47151.36,25895526.91
2024-10-03,542.38,550.55,533.4,544.64,752844.67,407894183.3,4372941,43729.41,23666356.69
2024-10-04,544.64,557.97,541.6,555.27,511855.19,282212792.5,4385759,43857.59,24275176.07
2024-10-05,555.28,565.08,551.61,563.13,353572.45,198249439.3,4474625,44746.25,25277156.63
2024-10-06,563.14,571.85,561.06,570.26,320618.82,181284801.9,4363457,43634.57,24753891.56
2024-10-07,570.26,581.95,563.32,564.33,629610.37,360940545.5,4540116,45401.16,26137447.81
2024-10-08,564.34,586.8,559.04,579.92,796198.26,457345876.2,4973249,49732.49,28740405.97
