Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
8/11/2024,0.008428,0.0087838,0.0076447,0.007718,1.00986E+11,831603718.4,464954.5,4.64954E+12,37368393.16
8/12/2024,0.007718,0.0084943,0.0077001,0.0082245,1.39459E+11,1133505313,437614.2,4.37614E+12,36129428.35
8/13/2024,0.0082246,0.0083785,0.0078855,0.0081801,84779564844,688116959.6,464748.5,4.64748E+12,37398311.79
8/14/2024,0.0081801,0.00847,0.0078957,0.0080066,87296107187,710602725,483876.9,4.83877E+12,39155318.75
8/15/2024,0.0080065,0.0080619,0.0072001,0.0074418,1.08307E+11,835992275.5,500838.4,5.00838E+12,40187273.22
8/16/2024,0.0074418,0.0075847,0.0068622,0.0071743,1.30858E+11,946932029.8,569393.9,5.69394E+12,39931594.21
8/17/2024,0.0071747,0.0077039,0.0071011,0.0074807,76660550829,563047094.9,527643.3,5.27643E+12,38602383.83
8/18/2024,0.0074813,0.0076238,0.0072776,0.007288,67947034850,508302654.6,576336.2,5.76336E+12,43421169.31
8/19/2024,0.0072881,0.0077116,0.0071516,0.0076795,78249952832,577783085.8,527867.9,5.27868E+12,38882749.51
8/20/2024,0.0076796,0.0082859,0.00763,0.007753,1.17757E+11,931121624.7,572749.4,5.72749E+12,44393805.99
8/21/2024,0.007753,0.0080779,0.0074951,0.0079182,78988169198,614249833.4,531520,5.3152E+12,40725062.4
8/22/2024,0.0079182,0.0080733,0.0077201,0.0079815,62593109988,496277557.9,556362.2,5.56362E+12,43885850.34
8/23/2024,0.0079816,0.0092963,0.0079459,0.0090782,1.30207E+11,1096742488,538575.5,5.38575E+12,44287063.36
8/24/2024,0.0090782,0.0098538,0.0088568,0.0094873,1.31705E+11,1225514072,627878.7,6.27879E+12,57752282.83
8/25/2024,0.0094874,0.009528,0.0086832,0.0091357,1.13736E+11,1035498274,620439.5,6.20439E+12,56435176.92
8/26/2024,0.0091358,0.009263,0.0084138,0.0085181,99743442074,885539277.6,580256.3,5.80256E+12,51155395.41
8/27/2024,0.0085181,0.008694,0.0075042,0.0076345,1.12163E+11,919921267.1,565852.1,5.65852E+12,47061919.16
8/28/2024,0.0076345,0.0081325,0.0073344,0.0076822,1.24492E+11,961007786.8,519890.6,5.19891E+12,40192742.29
8/29/2024,0.0076822,0.0081999,0.007544,0.0076393,85370139445,669376457.6,485712.2,4.85712E+12,39235831.52
8/30/2024,0.0076393,0.007925,0.0073361,0.0077612,90456392967,693637974.7,479421.3,4.79421E+12,35539500.97
8/31/2024,0.0077612,0.0078864,0.007512,0.0075945,41894212402,322041978.2,480875.7,4.80876E+12,37037046.41
9/1/2024,0.0075933,0.0076323,0.007058,0.00713,77480889984,573863447.6,478044.4,4.78044E+12,35896354
9/2/2024,0.00713,0.0076942,0.0070668,0.0076118,86800965667,642229012.5,480462,4.80462E+12,36149960.88
9/3/2024,0.0076113,0.0077578,0.0072261,0.0072643,64611096134,483026450.1,507780.7,5.07781E+12,37017213.03
9/4/2024,0.0072644,0.0075179,0.0068292,0.0073527,97911984813,705599782.7,504049.9,5.0405E+12,37360178.59
9/5/2024,0.0073526,0.0074079,0.006995,0.0071016,71192042149,512545592,528139.3,5.28139E+12,37767241.34
9/6/2024,0.0071017,0.0072676,0.0063255,0.0066368,1.39518E+11,959087078,524974,5.24974E+12,36753429.74
9/7/2024,0.0066368,0.007025,0.0066345,0.006761,74384816097,506858531,558225.3,5.58225E+12,38913885.66
9/8/2024,0.0067612,0.0074037,0.0067042,0.0070707,1.00944E+11,702100335,594067.4,5.94067E+12,40473811.96
9/9/2024,0.0070704,0.0076,0.0069322,0.0073889,1.10616E+11,794404333.3,516158.7,5.16159E+12,36471773.74
9/10/2024,0.0073889,0.00756,0.0072841,0.0074625,73574589666,546009304.5,532456.8,5.32457E+12,39220767.89
9/11/2024,0.0074615,0.0074662,0.0069707,0.0072337,93841902620,674446521.6,542405.9,5.42406E+12,38624724.14
9/12/2024,0.0072336,0.0074999,0.0072051,0.0074129,61748424706,453554677.9,523818.6,5.23819E+12,38008277.62
9/13/2024,0.0074129,0.0080592,0.0073018,0.0079064,80839880102,617010407.8,574067.7,5.74068E+12,43916179.05
9/14/2024,0.0079065,0.0079359,0.007622,0.0077545,44885698825,349466679.7,558293.1,5.58293E+12,43301212.84
9/15/2024,0.0077545,0.0078286,0.0072908,0.0073495,50738139339,386168939,537369.8,5.3737E+12,41517190.75
9/16/2024,0.0073499,0.0073898,0.0070524,0.0071946,73303889214,527773804,557498.2,5.57498E+12,40229070.11
9/17/2024,0.0071946,0.0076411,0.0071022,0.0073192,79839545631,589205221.2,525851.7,5.25852E+12,39686027.8
9/18/2024,0.0073193,0.0075435,0.0069836,0.007528,93403719731,677524362.2,513903.2,5.13903E+12,36219897.54
9/19/2024,0.007528,0.0083358,0.0075277,0.0079502,1.33406E+11,1058082450,553315.5,5.53316E+12,43662126.11
9/20/2024,0.0079502,0.0085124,0.00771,0.0082411,1.25109E+11,1023546790,570058.1,5.70058E+12,46676357.23
9/21/2024,0.0082411,0.0084459,0.0080001,0.0084089,51004869137,419168910.8,584852.7,5.84853E+12,48215256.59
9/22/2024,0.0084088,0.0084774,0.0077214,0.0080046,74716967776,602854381.5,599940.1,5.9994E+12,47557251.73
9/23/2024,0.0080046,0.0083351,0.0078217,0.0081273,76506436364,620504778.6,552519,5.52519E+12,45102125.97
9/24/2024,0.0081274,0.008764,0.0079209,0.0085892,1.15595E+11,968425445,583442.4,5.83442E+12,48822460.03
9/25/2024,0.0085898,0.0087918,0.0083575,0.0084426,94703905970,808321487.4,584444.7,5.84445E+12,49473243.85
9/26/2024,0.0084426,0.009725,0.0082147,0.0095147,1.66474E+11,1516303123,671921.7,6.71922E+12,62011653.69
9/27/2024,0.0095147,0.0109436,0.0093711,0.0107021,1.68828E+11,1759236424,778173.5,7.78174E+12,83451326.14
9/28/2024,0.0107021,0.0115587,0.0105561,0.0113806,1.69656E+11,1881399083,869133.6,8.69134E+12,95682918.02
9/29/2024,0.0113805,0.01197,0.0109679,0.0112783,1.59387E+11,1808964591,884743.4,8.84743E+12,98843532.65
9/30/2024,0.0112784,0.011498,0.0103504,0.0104665,1.65215E+11,1809250768,906712.9,9.06713E+12,96972944.66
10/1/2024,0.0104665,0.011452,0.0092876,0.0096949,2.71312E+11,2843095183,882846.1,8.82846E+12,94517503.47
10/2/2024,0.0096952,0.010323,0.0089225,0.0092371,1.93138E+11,1863478943,725066.2,7.25066E+12,70991231.64
10/3/2024,0.0092371,0.0095228,0.00834,0.0086294,1.73031E+11,1529924030,695648.6,6.95649E+12,60173603.9
10/4/2024,0.0086289,0.0095926,0.0084738,0.0093878,1.4768E+11,1341734156,650282.8,6.50283E+12,60066622.24
10/5/2024,0.0093879,0.0096,0.0091505,0.0093487,88818050987,833142429.6,831385.2,8.31385E+12,79014849.41
10/6/2024,0.0093489,0.010323,0.0092507,0.010231,1.14656E+11,1125375648,947130,9.4713E+12,94514102.7
10/7/2024,0.0102306,0.0108185,0.0097705,0.0097996,1.66216E+11,1729731878,885020.3,8.8502E+12,92077512.01
10/8/2024,0.0097996,0.0100612,0.0093016,0.0095008,1.17112E+11,1127457128,712395.4,7.12395E+12,67221629.94
